"-- Please Select --","- قم بإختيار -"
"None","لا شيء"
"You added %1 to your shopping cart.","لقد قمت بإضافة %1 إلى سلة التسوق الخاصة بك."
"Please select product(s).","يرجى تحديد المنتج (المنتجات)."
"We can't add this item to your shopping cart right now.","لا يمكننا إضافة هذا العنصر إلى سلة التسوق الخاصة بك الآن."
"Page not found.","الصفحة غير موجودة."
"We can't specify a product.","لا يمكننا تحديد منتج."
"We can't add the item to Wish List right now: %1.","لا يمكننا إضافة هذا البند إلى قائمة الرغبات الآن: %1."
"We can't add the item to Wish List right now.","لا يمكننا إضافة هذا البند إلى قائمة الرغبات الآن."
"Total price:","السعر الإجمالي:"
"Add selected to cart","إضافة المحدد إلى سلة التسوق"
"Add selected to wishlist","إضافة إلى القائمة المفضلة"
"This item:","هذا البند:"
"Out of stock","غير متوفر"
"Change","تغيير"
"Delete","حذف"
"Compatible file extensions to upload","امتدادات الملفات المتوافقة لتحميلها"
"Maximum image width","الحد الأقصى لعرض الصورة"
"px.","بكسل."
"Maximum image height","أقصى ارتفاع للصورة"
"Maximum number of characters:","الحد الأقصى لعدد الأحرف:"
"Quantity","الكمية"
"Choose a selection...","اختيار مجموعة..."
"No options of this product are available.","لا تتوفر خيارات لهذا المنتج."
"sample","عينة"
"Select all","تحديد الكل"
"Unselect all","إلغاء تحديد الكل"
"Grouped product items","عناصر المنتجات المجمعة"
"Product Name","اسم المنتج"
"Qty","الكمية"
"Availability","توفر"
"Show details","اظهر التفاصيل"
"Hide details","أخف التفاصيل"
"Add all %s to Cart","أضف الكل %s إلى السلة"
"Add all %s to Wishlist","أضف كل %s إلى قائمة المفضلات"
"Add to Cart","أضف للسلة"
"Add to Wishlist","أضف إلى قائمة الرغبات"
"Mageplaza Frequently Bought Together","ماجيبلازا عادة ما يشتريها الآخرون معا"
"Frequently Bought Together","اشترى في كثير من الأحيان جنبا إلى جنب"
"General Configuration","ضبط عام"
"Enable Frequently Bought Together","تمكين شائعة الشراء معا"
"Select Yes to enable this module.","حدد نعم لتمكين هذه الوحدة."
"Block Name","اسم صندوق الصفحات"
"Enter the block’s name. E.g: Frequently bought together","أدخل اسم الكتلة. على سبيل المثال: اشترى كثيرا معا"
"Number of products","عدد المنتجات"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","أدخل الحد الأقصى لعدد المنتجات المعروضة في العلبة (اترك فارغة أو 0 لعرض جميع المنتجات المقترحة)."
"Enable Add to Wishlist Button","تمكين إضافة إلى قائمة المفضلات"
"Select Yes to enable the Add to Wishlist button.","حدد نعم لتمكين زر إضافة إلى قائمة المفضلات."
"Remove Native Related Products Block","إزالة المنتجات الأصلية ذات الصلة بالعلبة"
"Select Yes to remove default related block.","حدد نعم لإزالة العلبة الافتراضية ذات الصلة."
"Separator Image","فاصل الصور"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","أنواع الملفات المسموح بها: جبج و جيف و بنج. اتركه فارغا لاستخدام الفاصل الافتراضي."
