"-- Please Select --","- Выберыце -"
"None","ні"
"You added %1 to your shopping cart.","Вы дадалі %1 у кошыку."
"Please select product(s).","Вылучыце прадукт (ы)."
"We can't add this item to your shopping cart right now.","Мы не можам дадаць тавар у кошык прама цяпер."
"Page not found.","Старонка не знойдзена."
"We can't specify a product.","Мы не можам вызначыць прадукт."
"We can't add the item to Wish List right now: %1.","Мы не можам дадаць тавар у Спіс жаданняў прама зараз: %1."
"We can't add the item to Wish List right now.","Мы не можам дадаць тавар у асабісты спіс прама цяпер."
"Total price:","Агульны кошт:"
"Add selected to cart","Дадаць абранае ў кошык"
"Add selected to wishlist","Дадаць абранае у спіс жаданняў"
"This item:","Гэты пункт:"
"Out of stock","Няма ў наяўнасці"
"Change","змена"
"Delete","выдаляць"
"Compatible file extensions to upload","Сумяшчальныя пашырэння файлаў для загрузкі"
"Maximum image width","Максімальная шырыня выявы"
"px.","гарнізонная крама"
"Maximum image height","Максімальная вышыня выявы"
"Maximum number of characters:","Максімальную колькасць знакаў:"
"Quantity","колькасць"
"Choose a selection...","Выберыце выбар ..."
"No options of this product are available.","Без варыянтаў гэтага прадукта адсутнічаюць."
"sample","ўзор"
"Select all","Абраць усё"
"Unselect all","ачысціць ўсе"
"Grouped product items","Згрупаваныя элементы прадукцыі"
"Product Name","Найменне"
"Qty","Кол-у"
"Availability","даступнасць"
"Show details","паказаць дэталі"
"Hide details","схаваць падрабязнасці"
"Add all %s to Cart","Дадаць ўсе %s ў кошык"
"Add all %s to Wishlist","Дадаць ўсе %s ў ліст пажаданняў"
"Add to Cart","Дадаць у кошык"
"Add to Wishlist","Дадаць у абранае"
"Mageplaza Frequently Bought Together","Mageplaza Часта Разам Купілі"
"Frequently Bought Together","Часта Разам Купілі"
"General Configuration","агульная канфігурацыя"
"Enable Frequently Bought Together","Ўключыць Часта Разам Купілі"
"Select Yes to enable this module.","Вылучыце Так, каб уключыць гэты модуль."
"Block Name","Імя блока"
"Enter the block’s name. E.g: Frequently bought together","Калі ласка, увядзіце імя блока. Напрыклад: Ці часта купілі разам"
"Number of products","колькасць прадуктаў"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Увядзіце максімальную колькасць прадуктаў, якія адлюстроўваюцца ў блоку (пакіньце пустым або 0, каб паказаць усе прапанаваныя прадукты)."
"Enable Add to Wishlist Button","Ўключыць Дадаць у абранае Батана"
"Select Yes to enable the Add to Wishlist button.","Вылучыце Так, каб уключыць кнопку Дадаць у абранае."
"Remove Native Related Products Block","Выдаліць Native Related Products Блок"
"Select Yes to remove default related block.","Вылучыце Так, каб выдаліць блок, звязаныя па змаўчанні."
"Separator Image","сепаратар выява"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Дазволеныя тыпы файлаў: JPG, GIF, PNG. Пакіньце пустым, каб выкарыстоўваць падзельнік па змаўчанні."
