"-- Please Select --","-- Please Select --"
"None","None"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Please select product(s).","Please select product(s)."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Page not found.","Page not found."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"Total price:","Total price:"
"Add selected to cart","Add selected to cart"
"Add selected to wishlist","Add selected to wishlist"
"This item:","This item:"
"Out of stock","Out of stock"
"Change","Change"
"Delete","Delete"
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
"px.","px."
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"Quantity","Quantity"
"Choose a selection...","Choose a selection..."
"No options of this product are available.","No options of this product are available."
"sample","sample"
"Select all","Select all"
"Unselect all","Unselect all"
"Grouped product items","Grouped product items"
"Product Name","Product Name"
"Qty","Qty"
"Availability","Availability"
"Show details","Show details"
"Hide details","Hide details"
"Add all %s to Cart","Add all %s to Cart"
"Add all %s to Wishlist","Add all %s to Wishlist"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Mageplaza Frequently Bought Together","Mageplaza Frequently Bought Together"
"Frequently Bought Together","Frequently Bought Together"
"General Configuration","General Configuration"
"Enable Frequently Bought Together","Enable Frequently Bought Together"
"Select Yes to enable this module.","Select Yes to enable this module."
"Block Name","Block Name"
"Enter the block’s name. E.g: Frequently bought together","Enter the block’s name. E.g: Frequently bought together"
"Number of products","Number of products"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products)."
"Enable Add to Wishlist Button","Enable Add to Wishlist Button"
"Select Yes to enable the Add to Wishlist button.","Select Yes to enable the Add to Wishlist button."
"Remove Native Related Products Block","Remove Native Related Products Block"
"Select Yes to remove default related block.","Select Yes to remove default related block."
"Separator Image","Separator Image"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Allowed file types: jpg, gif, png. Leave empty to use default separator."
