"-- Please Select --","-- Молимо изаберите --"
"None","Ниједан"
"You added %1 to your shopping cart.","Додали сте %1 у своју корпу за куповину."
"Please select product(s).","Молимо изаберите производ (е)."
"We can't add this item to your shopping cart right now.","Тренутно не можемо додати ову ставку у вашу корпу за куповину."
"Page not found.","Страница није пронађена."
"We can't specify a product.","Не можемо одредити производ."
"We can't add the item to Wish List right now: %1.","Тренутно не можемо додати ставку у листу жеља: %1."
"We can't add the item to Wish List right now.","Тренутно не можемо додати ставку у листу жеља."
"Total price:","Укупна цена:"
"Add selected to cart","Додајте изабране у корпу"
"Add selected to wishlist","Додати одабрани у листу жеља"
"This item:","Ова ставка:"
"Out of stock","Нема на залихи"
"Change","Промени"
"Delete","Избриши"
"Compatible file extensions to upload","Компатибилне екстензије датотека за отпремање"
"Maximum image width","Максимална ширина слике"
"px.","пк."
"Maximum image height","Максимална висина слике"
"Maximum number of characters:","Максималан број знакова:"
"Quantity","Количина"
"Choose a selection...","Изаберите избор ..."
"No options of this product are available.","Ниједна опција овог производа није доступна."
"sample","узорак"
"Select all","Изабери све"
"Unselect all","Поништи све"
"Grouped product items","Груписане ставке производа"
"Product Name","Назив производа"
"Qty","Количина"
"Availability","Доступност"
"Show details","Прикажи детаље"
"Hide details","Сакриј детаље"
"Add all %s to Cart","Додајте све %s у Корпу"
"Add all %s to Wishlist","Додај све %s на листу жеља"
"Add to Cart","Додај у колица"
"Add to Wishlist","Додај у листу жеља"
"Mageplaza Frequently Bought Together","Магеплаза се често купује заједно"
"Frequently Bought Together","Често купљени заједно"
"General Configuration","Општа конфигурација"
"Enable Frequently Bought Together","Омогућите често купљено заједно"
"Select Yes to enable this module.","Изаберите Да да бисте омогућили овај модул."
"Block Name","Име блока"
"Enter the block’s name. E.g: Frequently bought together","Унесите име блока. Нпр .: Често купљено заједно"
"Number of products","Број производа"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Унесите максималан број производа приказаних у блоку (Оставите празно или 0 да бисте приказали све предложене производе)."
"Enable Add to Wishlist Button","Омогући Додај на листу жеља"
"Select Yes to enable the Add to Wishlist button.","Изаберите Да да бисте омогућили дугме Додај у листу жеља."
"Remove Native Related Products Block","Уклонити Блок производа повезаних сродних производа"
"Select Yes to remove default related block.","Изаберите Да да бисте уклонили подразумевани повезани блок."
"Separator Image","Сепаратор Имаге"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Дозвољени типови датотека: јпг, гиф, пнг. Оставите празно да бисте користили подразумевани сепаратор."
