"-- Please Select --","-- Виберіть будь ласка --"
"None","Ні"
"You added %1 to your shopping cart.","Ви додали %1 до своєї кошику для покупок."
"Please select product(s).","Виберіть продукт (и)."
"We can't add this item to your shopping cart right now.","Ми не можемо додати цей товар до вашої корзини прямо зараз."
"Page not found.","Сторінку не знайдено."
"We can't specify a product.","Ми не можемо вказати продукт."
"We can't add the item to Wish List right now: %1.","Не вдається додати елемент до списку бажань прямо зараз: %1."
"We can't add the item to Wish List right now.","Ми не можемо додати елемент до списку бажань прямо зараз."
"Total price:","Загальна сума:"
"Add selected to cart","Додати вибране в кошик"
"Add selected to wishlist","Додати вибране до списку бажань"
"This item:","Цей елемент:"
"Out of stock","Немає в наявності"
"Change","Змінити"
"Delete","Видалити"
"Compatible file extensions to upload","Сумісні розширення файлів для завантаження"
"Maximum image width","Максимальна ширина зображення"
"px.","px"
"Maximum image height","Максимальний висота зображення"
"Maximum number of characters:","Максимальна кількість символів:"
"Quantity","Кількість"
"Choose a selection...","Виберіть вибір ..."
"No options of this product are available.","Немає доступних опцій цього продукту."
"sample","зразок"
"Select all","Вибрати все"
"Unselect all","Скасувати вибір усіх"
"Grouped product items","Групувані продукти продукту"
"Product Name","Назва продукту"
"Qty","Кол"
"Availability","Наявність"
"Show details","Показати деталі"
"Hide details","Сховати подробиці"
"Add all %s to Cart","Додайте всі %s до кошика"
"Add all %s to Wishlist","Додайте всі %s до списку побажань"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"Mageplaza Frequently Bought Together","Mageplaza часто купується разом"
"Frequently Bought Together","Часто купується разом"
"General Configuration","Загальна конфігурація"
"Enable Frequently Bought Together","Увімкнути часто купується разом"
"Select Yes to enable this module.","Виберіть Так для ввімкнення цього модуля."
"Block Name","Назва блоку"
"Enter the block’s name. E.g: Frequently bought together","Введіть назву блоку. Наприклад: часто купують разом"
"Number of products","Кількість виробів"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Введіть максимальну кількість продуктів, що відображаються в блоці (залиште порожній або 0, щоб відобразити всі рекомендовані продукти)."
"Enable Add to Wishlist Button","Увімкнути Додати до списку бажаних кнопок"
"Select Yes to enable the Add to Wishlist button.","Виберіть Так, щоб увімкнути кнопку Додати до списку бажань."
"Remove Native Related Products Block","Видаліть рідний блок із супутніх товарів"
"Select Yes to remove default related block.","Виберіть Так, щоб видалити блок за замовчуванням."
"Separator Image","Розділювач зображень"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Дозволені типи файлів: jpg, gif, png. Залиште порожнім, щоб використовувати роздільник за замовчуванням."
